Title,Artist,Nationality,Gender,Year,Medium,Classification
The Athlete,Max Weber,(American),(Male),1940,Gouache and ink on paper on board,Drawing
The Blue Ribbon,Max Weber,(American),(Male),1940,Gouache on paper on board,Drawing
The Chinese Vase,Max Weber,(American),(Male),1940,Gouache on paper on board,Drawing
The Flower Pot,Max Weber,(American),(Male),1940,"Gouache, ink, and pencil on paper on board",Drawing
Morning,Max Weber,(American),(Male),1940,Gouache and ink on paper on board,Drawing
The Rabbi,Max Weber,(American),(Male),1940,Gouache on paper on board,Drawing
The Sisters,Max Weber,(American),(Male),1940,Gouache on paper on board,Drawing
Sleep,Max Weber,(American),(Male),1940,Gouache and ink on paper on board,Drawing
Young Woman,Max Weber,(American),(Male),1940,Gouache on paper on board,Drawing
Wonderment,Max Weber,(American),(Male),1940,Gouache on paper on board,Drawing
Dancer (Tí_nzerin),Georg Kolbe,(German),(Male),1940,Ink on paper,Drawing
Nude (Akt),Georg Kolbe,(German),(Male),1940,Pencil and watercolor on paper,Drawing
"Butte, Utah",Adolf Dehn,(American),(Male),1940,Watercolor and pencil on paper,Drawing
Nude with Braided Hair,Diego Rivera,(Mexican),(Male),1940,Pencil on paper,Drawing
Building the Palace Of Cortez,Diego Rivera,(Mexican),(Male),1940,Pencil on brown paper,Drawing
Day of the Dead in the Country,Diego Rivera,(Mexican),(Male),1940,Colored chalk and charcoal on paper,Drawing
Duncan Dancer,Abraham Walkowitz,(American),(Male),1940,Ink and watercolor on paper,Drawing
Isadora Duncan,Abraham Walkowitz,(American),(Male),1940,Crayon on paper,Drawing
St. Ives Harbor,Alfred Wallis,(British),(Male),1940,Oil on board,Drawing
Fernand Lí_er,Rogi Andrí_(Rozsa Klein),(Hungarian),(Female),1940,Gelatin silver print,Photograph
Florent Fels,Rogi Andrí_(Rozsa Klein),(Hungarian),(Female),1940,Gelatin silver print,Photograph
Alberto Giacometti,Rogi Andrí_(Rozsa Klein),(Hungarian),(Female),1940,Gelatin silver print,Photograph
Pablo Picasso,Rogi Andrí_(Rozsa Klein),(Hungarian),(Female),1940,Gelatin silver print,Photograph
Georges Braque,Rogi Andrí_(Rozsa Klein),(Hungarian),(Female),1940,Gelatin silver print,Photograph
